"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.4722857527243374","6.418559588474154E-4","0.28799473062244524","0.06346153846153846","72","8","false","MAOA","30.046153846153846","0","72","7","0.9950554284945513","false","0","MAOA","4548736","0.031203733504988736"
"3.51479886990448","2.0069075455975003E-4","0.28451130121911544","0.13333333333333333","21","7","false","DDAH1","111.57142857142857","0","21","0","0.994970402260191","false","0","DDAH1","1887332","0.08037216328492464"
"3.5032288443427957","2.4400735063470565E-4","0.28545094951899996","0.06253585771658061","92","7","false","BARD1","48.595238095238095","0","92","8","0.9949935423113144","false","0","BARD1","2898710","0.03462585034013605"
"3.485739270819319","1.4763833330955437E-4","0.2868831895636736","0.10869565217391304","24","7","false","LDHAL6B","157.5","0","24","0","0.9950285214583614","false","0","LDHAL6B","1533280","0.07886382623224729"
"3.4038746132113546","0.0010512146623715686","0.29378285443263114","0.05806858826004629","109","8","false","SFRP5","47.03061224489796","0","109","11","0.9951922507735772","false","0","SFRP5","11458272","0.028930461073318217"
"3.242297860890623","0.0014894349554809487","0.3084232365145228","0.06583333333333333","252","8","false","SRC","54.60444444444445","0","252","27","0.9955154042782187","false","0","SRC","22083900","0.022186088527551943"
"3.225144625319521","0.0015909436689211306","0.31006361455834813","0.0378567268491555","114","8","false","SRD5A3","36.0","0","114","12","0.995549710749361","false","0","SRD5A3","13429312","0.02289253297226819"
"3.397282389344814","1.3232005790798508E-4","0.2943529225407888","0.20853658536585365","41","8","false","ATN1","206.1951219512195","0","41","0","0.9952054352213103","false","0","ATN1","2749218","0.08523981891327802"
"3.1603659356921834","0.002683918132129402","0.31641905410582777","0.0433901655547319","311","7","false","STAT4","49.37543859649123","0","311","26","0.9956792681286156","false","0","STAT4","34614266","0.018811993766344952"
"3.3749495493071437","1.0550598588386486E-4","0.29630072550426534","0.2551282051282051","40","7","false","ELAVL4","222.75","0","40","0","0.9952501009013858","false","0","ELAVL4","2115824","0.09080717488789238"
"3.2943629759182027","0.0018818165426698768","0.30354882182382487","0.026263580538497873","157","7","false","TP73","31.45205479452055","0","157","11","0.9954112740481635","false","0","TP73","18478322","0.017015336509827277"
"3.5699582940939054","4.5373029721824605E-5","0.28011531721655897","0.08974358974358974","13","7","false","PPCDC","174.69230769230768","0","13","0","0.9948600834118122","false","0","PPCDC","502768","0.11372765615585459"
"3.356249159155119","0.0029256136871879893","0.29795165751392955","0.0347985347985348","209","7","false","MCAT","36.33673469387755","0","209","13","0.9952875016816897","false","0","MCAT","29366518","0.01818531432673572"
"3.452643616305664","1.1264327832332441E-4","0.28963313655580886","0.2672268907563025","35","7","false","PTPRN","223.57142857142858","0","35","0","0.9950947127673887","false","0","PTPRN","2241108","0.09299976230092703"
"3.745863043185793","6.651072231752864E-5","0.2669611751607226","0.15384615384615385","18","8","false","SMAD7","53.07692307692308","0","18","5","0.9945082739136284","false","0","SMAD7","409014","0.08941819601718079"
"3.73308220099556","2.7235204088281285E-5","0.2678751621738504","0.1388888888888889","9","8","false","SLC5A2","116.11111111111111","0","9","0","0.9945338355980089","false","0","SLC5A2","236038","0.14047138047138047"
"3.235503834252657","0.005526911384373193","0.30907087465435873","0.03843060148359997","364","8","false","RRM2B","41.66567164179104","0","364","29","0.9955289923314947","false","0","RRM2B","77220828","0.01648943401802867"
"3.434077761334589","0.0011689366958606106","0.29119899708135","0.053509885724650826","160","8","false","EIF2AK1","40.013422818791945","0","160","11","0.9951318444773308","false","0","EIF2AK1","14089206","0.023391697970859594"
"3.215727162653034","0.0019115212713904548","0.3109716556845518","0.05252806979904169","259","7","false","CFLAR","54.07172995780591","0","259","22","0.995568545674694","false","0","CFLAR","26521396","0.02091899158895145"
"3.199179335396206","0.0016191860338582754","0.3125801635862823","0.05289607864715161","258","7","false","HMGCR","58.072649572649574","0","258","24","0.9956016413292076","false","0","HMGCR","24172766","0.02047934422669779"
"3.4325306067536663","0.0021033225252420303","0.29133025005879126","0.04188083000190367","117","8","false","SUGP1","32.18446601941748","0","117","14","0.9951349387864926","false","0","SUGP1","18232492","0.02146962366464266"
"3.842190232745863","6.439477742591501E-6","0.2602682166742533","0.16666666666666666","4","8","false","LONP1","174.5","0","4","0","0.9943156195345083","false","0","LONP1","77466","0.2815533980582524"
"3.248351944033365","0.002036963597906039","0.30784841582108097","0.05410733844468784","184","7","false","TRAF1","51.855421686746986","0","184","18","0.9955032961119333","false","0","TRAF1","19876168","0.022781265908705245"
"3.43710480290596","9.797233441524718E-5","0.29094253953342725","0.1956521739130435","24","8","false","SESN2","192.83333333333334","0","24","0","0.9951257903941881","false","0","SESN2","1621132","0.08654997007779773"
"3.297793623032423","0.0015779998140752838","0.30323304436511983","0.05345559186460518","223","8","false","E4F1","54.99014778325123","0","223","20","0.9954044127539352","false","0","E4F1","22303000","0.022454357502199335"
"3.438719225077358","1.2702938092117616E-4","0.2908059467918623","0.21176470588235294","35","8","false","SELENOI","219.5142857142857","0","35","0","0.9951225615498452","false","0","SELENOI","3274128","0.09436187200589607"
"3.6053410466837077","9.264790205291188E-6","0.27736627050021456","0.3235294117647059","17","8","false","SELENOO","233.0","0","17","0","0.9947893179066326","false","0","SELENOO","245324","0.1397014714704118"
